nivel,cod,id,uf,sexo,idade,total,branca,preta,amarela,parda,indigena,sem_declaracao
BR,1,BR,Brasil,Total,Total,190755799,91051646,14517961,2084288,82277333,817963,6608
UF,11,RO,Rondônia,Total,Total,1562409,551843,107082,22209,869106,12015,154
UF,12,AC,Acre,Total,Total,733559,174966,42531,13875,486254,15921,12
UF,13,AM,Amazonas,Total,Total,3483985,740065,143748,31773,2399713,168680,6
UF,14,RR,Roraima,Total,Total,450479,94252,26364,4318,275908,49637,-
UF,15,PA,Pará,Total,Total,7581051,1653307,548825,69198,5270307,39081,333
UF,16,AP,Amapá,Total,Total,669526,160487,58286,6602,436741,7408,2
UF,17,TO,Tocantins,Total,Total,1383445,345248,126217,25534,873313,13131,2
UF,21,MA,Maranhão,Total,Total,6574789,1455119,636808,74219,4373321,35272,50
UF,22,PI,Piauí,Total,Total,3118360,759361,292951,66731,1996371,2944,2
UF,23,CE,Ceará,Total,Total,8452381,2704732,392733,105307,5230214,19336,59
UF,24,RN,Rio Grande do Norte,Total,Total,3168027,1303592,166090,32796,1662645,2597,307
UF,25,PB,Paraíba,Total,Total,3766528,1499253,212968,48487,1986619,19149,52
UF,26,PE,Pernambuco,Total,Total,8796448,3225294,570795,82152,4864865,53284,58
UF,27,AL,Alagoas,Total,Total,3120494,986326,205154,36684,1877818,14509,3
UF,28,SE,Sergipe,Total,Total,2068017,583428,184054,25708,1269565,5219,43
UF,29,BA,Bahia,Total,Total,14016906,3110605,2397249,158925,8293057,56381,689
UF,31,MG,Minas Gerais,Total,Total,19597330,8894547,1806541,187119,8677745,31112,266
UF,32,ES,Espírito Santo,Total,Total,3514952,1481678,293334,21956,1708796,9160,28
UF,33,RJ,Rio de Janeiro,Total,Total,15989929,7583047,1978681,122838,6288095,15894,1374
UF,35,SP,São Paulo,Total,Total,41262199,26371709,2277764,558354,12010079,41794,2499
UF,41,PR,Paraná,Total,Total,10444526,7344122,330830,123205,2620378,25915,76
UF,42,SC,Santa Catarina,Total,Total,6248436,5246868,183857,26017,775558,16041,95
UF,43,RS,Rio Grande do Sul,Total,Total,10693929,8900007,595123,35682,1130043,32989,85
UF,50,MS,Mato Grosso do Sul,Total,Total,2449024,1158103,120096,29957,1067560,73295,13
UF,51,MT,Mato Grosso,Total,Total,3035122,1137150,229890,34642,1590707,42538,195
UF,52,GO,Goiás,Total,Total,6003788,2502119,391918,98478,3002673,8533,67
UF,53,DF,Distrito Federal,Total,Total,2570160,1084418,198072,41522,1239882,6128,138
